year,borough,major_category,total_crime,Latitude,Longitude
2008,Enfield,Robbery,1019,-0.076348,51.667797
2008,Enfield,Theft and Handling,7454,-0.076348,51.667797
2008,Enfield,Violence Against the Person,3767,-0.076348,51.667797
2008,Greenwich,Burglary,3008,0.00257,51.48451
2008,Greenwich,Criminal Damage,3353,0.00257,51.48451
2008,Greenwich,Drugs,1612,0.00257,51.48451
2008,Greenwich,Other Notifiable Offences,317,0.00257,51.48451
2008,Greenwich,Robbery,898,0.00257,51.48451
2008,Greenwich,Theft and Handling,7162,0.00257,51.48451
2008,Greenwich,Violence Against the Person,5497,0.00257,51.48451
2008,Hackney,Burglary,2161,-0.05833,51.55
2008,Hackney,Criminal Damage,2199,-0.05833,51.55
2008,Hackney,Drugs,3197,-0.05833,51.55
2008,Hackney,Other Notifiable Offences,337,-0.05833,51.55
2008,Hackney,Robbery,894,-0.05833,51.55
2008,Hackney,Theft and Handling,7569,-0.05833,51.55
2008,Hackney,Violence Against the Person,5458,-0.05833,51.55
2008,Hammersmith and Fulham,Burglary,2438,-0.220817,51.495045
2008,Hammersmith and Fulham,Criminal Damage,2068,-0.220817,51.495045
2008,Hammersmith and Fulham,Drugs,2068,-0.220817,51.495045
2008,Hammersmith and Fulham,Other Notifiable Offences,256,-0.220817,51.495045
2008,Hammersmith and Fulham,Robbery,664,-0.220817,51.495045
2008,Hammersmith and Fulham,Theft and Handling,8800,-0.220817,51.495045
2008,Hammersmith and Fulham,Violence Against the Person,4684,-0.220817,51.495045
2008,Haringey,Burglary,3679,-0.071193,51.58784
2008,Haringey,Criminal Damage,3422,-0.071193,51.58784
2008,Haringey,Drugs,2468,-0.071193,51.58784
2008,Haringey,Other Notifiable Offences,284,-0.071193,51.58784
2008,Haringey,Robbery,1147,-0.071193,51.58784
2008,Haringey,Theft and Handling,9373,-0.071193,51.58784
2008,Haringey,Violence Against the Person,5104,-0.071193,51.58784
2008,Harrow,Burglary,2290,-0.46443,51.4801
2008,Harrow,Criminal Damage,1778,-0.46443,51.4801
2008,Harrow,Drugs,1010,-0.46443,51.4801
2008,Harrow,Other Notifiable Offences,198,-0.46443,51.4801
2008,Harrow,Robbery,550,-0.46443,51.4801
2008,Harrow,Theft and Handling,4864,-0.46443,51.4801
2008,Harrow,Violence Against the Person,2965,-0.46443,51.4801
2008,Havering,Burglary,2403,0.255151,51.570454
2008,Havering,Criminal Damage,2885,0.255151,51.570454
2008,Havering,Drugs,1016,0.255151,51.570454
2008,Havering,Other Notifiable Offences,185,0.255151,51.570454
2008,Havering,Robbery,297,0.255151,51.570454
2008,Havering,Theft and Handling,5635,0.255151,51.570454
2008,Havering,Violence Against the Person,2776,0.255151,51.570454
2008,Hillingdon,Burglary,2867,-0.44998,51.54304
2008,Hillingdon,Criminal Damage,3667,-0.44998,51.54304
2008,Hillingdon,Drugs,1830,-0.44998,51.54304
2008,Hillingdon,Other Notifiable Offences,461,-0.44998,51.54304
2008,Hillingdon,Robbery,749,-0.44998,51.54304
2008,Hillingdon,Theft and Handling,8529,-0.44998,51.54304
2008,Hillingdon,Violence Against the Person,5948,-0.44998,51.54304
2008,Hounslow,Burglary,2411,-0.361667,51.4675
2008,Hounslow,Criminal Damage,3003,-0.361667,51.4675
2008,Hounslow,Drugs,1937,-0.361667,51.4675
2008,Hounslow,Other Notifiable Offences,378,-0.361667,51.4675
2008,Hounslow,Robbery,665,-0.361667,51.4675
2008,Hounslow,Theft and Handling,6552,-0.361667,51.4675
2008,Hounslow,Violence Against the Person,5035,-0.361667,51.4675
2008,Islington,Burglary,2769,-0.10614,51.53279
2008,Islington,Criminal Damage,2535,-0.10614,51.53279
2008,Islington,Drugs,3140,-0.10614,51.53279
2008,Islington,Other Notifiable Offences,386,-0.10614,51.53279
2008,Islington,Robbery,1022,-0.10614,51.53279
2008,Islington,Theft and Handling,11063,-0.10614,51.53279
2008,Islington,Violence Against the Person,5233,-0.10614,51.53279
2008,Kensington and Chelsea,Burglary,1783,-0.192221,51.501205
2008,Kensington and Chelsea,Criminal Damage,1413,-0.192221,51.501205
2008,Kensington and Chelsea,Drugs,2784,-0.192221,51.501205
2008,Kensington and Chelsea,Other Notifiable Offences,253,-0.192221,51.501205
2008,Kensington and Chelsea,Robbery,530,-0.192221,51.501205
2008,Kensington and Chelsea,Theft and Handling,10745,-0.192221,51.501205
2008,Kensington and Chelsea,Violence Against the Person,3046,-0.192221,51.501205
2008,Kingston upon Thames,Burglary,1054,-0.29142,51.41104
2008,Kingston upon Thames,Criminal Damage,1658,-0.29142,51.41104
2008,Kingston upon Thames,Drugs,611,-0.29142,51.41104
2008,Kingston upon Thames,Other Notifiable Offences,152,-0.29142,51.41104
2008,Kingston upon Thames,Robbery,249,-0.29142,51.41104
2008,Kingston upon Thames,Theft and Handling,4614,-0.29142,51.41104
2008,Kingston upon Thames,Violence Against the Person,2240,-0.29142,51.41104
2008,Lambeth,Burglary,3269,-0.11108,51.49085
2008,Lambeth,Criminal Damage,3589,-0.11108,51.49085
2008,Lambeth,Drugs,3848,-0.11108,51.49085
2008,Lambeth,Other Notifiable Offences,544,-0.11108,51.49085
2008,Lambeth,Robbery,1992,-0.11108,51.49085
2008,Lambeth,Theft and Handling,10869,-0.11108,51.49085
2008,Lambeth,Violence Against the Person,7399,-0.11108,51.49085
2008,Lewisham,Burglary,2659,-0.01213,51.45916
2008,Lewisham,Criminal Damage,3710,-0.01213,51.45916
2008,Lewisham,Drugs,2475,-0.01213,51.45916
2008,Lewisham,Other Notifiable Offences,425,-0.01213,51.45916
2008,Lewisham,Robbery,1251,-0.01213,51.45916
2008,Lewisham,Theft and Handling,8262,-0.01213,51.45916
2008,Lewisham,Violence Against the Person,7939,-0.01213,51.45916
2008,Merton,Burglary,1811,-0.166667,51.3833
2008,Merton,Criminal Damage,2149,-0.166667,51.3833
2008,Merton,Drugs,917,-0.166667,51.3833
2008,Merton,Other Notifiable Offences,213,-0.166667,51.3833
2008,Merton,Robbery,498,-0.166667,51.3833
2008,Merton,Theft and Handling,4580,-0.166667,51.3833
2008,Merton,Violence Against the Person,3570,-0.166667,51.3833
2008,Newham,Burglary,3033,0.013242,51.524384
2008,Newham,Criminal Damage,3690,0.013242,51.524384
2008,Newham,Drugs,2526,0.013242,51.524384
2008,Newham,Other Notifiable Offences,416,0.013242,51.524384
2008,Newham,Robbery,1618,0.013242,51.524384
2008,Newham,Theft and Handling,11295,0.013242,51.524384
2008,Newham,Violence Against the Person,6808,0.013242,51.524384
2008,Redbridge,Burglary,3199,0.083333,51.5667
2008,Redbridge,Criminal Damage,2533,0.083333,51.5667
2008,Redbridge,Drugs,2064,0.083333,51.5667
2008,Redbridge,Other Notifiable Offences,194,0.083333,51.5667
2008,Redbridge,Robbery,926,0.083333,51.5667
2008,Redbridge,Theft and Handling,7825,0.083333,51.5667
2008,Redbridge,Violence Against the Person,3817,0.083333,51.5667
2008,Richmond upon Thames,Burglary,1897,-0.312531,51.442757
2008,Richmond upon Thames,Criminal Damage,1640,-0.312531,51.442757
2008,Richmond upon Thames,Drugs,725,-0.312531,51.442757
2008,Richmond upon Thames,Other Notifiable Offences,134,-0.312531,51.442757
2008,Richmond upon Thames,Robbery,218,-0.312531,51.442757
2008,Richmond upon Thames,Theft and Handling,4559,-0.312531,51.442757
2008,Richmond upon Thames,Violence Against the Person,1870,-0.312531,51.442757
2008,Southwark,Burglary,3185,-0.08921,51.50541
2008,Southwark,Criminal Damage,3317,-0.08921,51.50541
2008,Southwark,Drugs,4178,-0.08921,51.50541
2008,Southwark,Other Notifiable Offences,563,-0.08921,51.50541
2008,Southwark,Robbery,1651,-0.08921,51.50541
2008,Southwark,Theft and Handling,12222,-0.08921,51.50541
2008,Southwark,Violence Against the Person,7993,-0.08921,51.50541
2008,Sutton,Burglary,1648,-0.166667,51.3333
2008,Sutton,Criminal Damage,2415,-0.166667,51.3333
2008,Sutton,Drugs,491,-0.166667,51.3333
2008,Sutton,Other Notifiable Offences,161,-0.166667,51.3333
2008,Sutton,Robbery,317,-0.166667,51.3333
2008,Sutton,Theft and Handling,5284,-0.166667,51.3333
2008,Sutton,Violence Against the Person,2550,-0.166667,51.3333
2008,Tower Hamlets,Burglary,2092,-0.05457,51.52017
2008,Tower Hamlets,Criminal Damage,2869,-0.05457,51.52017
2008,Tower Hamlets,Drugs,2769,-0.05457,51.52017
2008,Tower Hamlets,Other Notifiable Offences,416,-0.05457,51.52017
2008,Tower Hamlets,Robbery,991,-0.05457,51.52017
2008,Tower Hamlets,Theft and Handling,8847,-0.05457,51.52017
2008,Tower Hamlets,Violence Against the Person,5423,-0.05457,51.52017
2008,Waltham Forest,Burglary,3174,-0.015955,51.601154
2008,Waltham Forest,Criminal Damage,3160,-0.015955,51.601154
2008,Waltham Forest,Drugs,2165,-0.015955,51.601154
2008,Waltham Forest,Other Notifiable Offences,277,-0.015955,51.601154
2008,Waltham Forest,Robbery,1414,-0.015955,51.601154
2008,Waltham Forest,Theft and Handling,8253,-0.015955,51.601154
2008,Waltham Forest,Violence Against the Person,5367,-0.015955,51.601154
2008,Wandsworth,Burglary,2821,-0.194861,51.4573
2008,Wandsworth,Criminal Damage,2857,-0.194861,51.4573
2008,Wandsworth,Drugs,1281,-0.194861,51.4573
2008,Wandsworth,Other Notifiable Offences,280,-0.194861,51.4573
2008,Wandsworth,Robbery,1030,-0.194861,51.4573
2008,Wandsworth,Theft and Handling,10033,-0.194861,51.4573
2008,Wandsworth,Violence Against the Person,4820,-0.194861,51.4573
2008,Westminster,Burglary,2962,-0.12802,51.50008
2008,Westminster,Criminal Damage,2599,-0.12802,51.50008
2008,Westminster,Drugs,4075,-0.12802,51.50008
2008,Westminster,Other Notifiable Offences,588,-0.12802,51.50008
2008,Westminster,Robbery,1327,-0.12802,51.50008
2008,Westminster,Theft and Handling,29266,-0.12802,51.50008
2008,Westminster,Violence Against the Person,6697,-0.12802,51.50008
2009,Barking and Dagenham,Burglary,2418,0.133158,51.5465
2009,Barking and Dagenham,Criminal Damage,2721,0.133158,51.5465
2009,Barking and Dagenham,Drugs,997,0.133158,51.5465
2009,Barking and Dagenham,Other Notifiable Offences,334,0.133158,51.5465
2009,Barking and Dagenham,Robbery,785,0.133158,51.5465
2009,Barking and Dagenham,Theft and Handling,5384,0.133158,51.5465
2009,Barking and Dagenham,Violence Against the Person,5074,0.133158,51.5465
2009,Barnet,Burglary,4090,-0.19622,51.6455
2009,Barnet,Criminal Damage,2628,-0.19622,51.6455
2009,Barnet,Drugs,1397,-0.19622,51.6455
2009,Barnet,Other Notifiable Offences,273,-0.19622,51.6455
2009,Barnet,Robbery,890,-0.19622,51.6455
2009,Barnet,Theft and Handling,9441,-0.19622,51.6455
2009,Barnet,Violence Against the Person,4730,-0.19622,51.6455
2009,Bexley,Burglary,2054,0.110969,51.45964
2009,Bexley,Criminal Damage,2716,0.110969,51.45964
2009,Bexley,Drugs,781,0.110969,51.45964
2009,Bexley,Other Notifiable Offences,175,0.110969,51.45964
2009,Bexley,Robbery,312,0.110969,51.45964
2009,Bexley,Theft and Handling,4793,0.110969,51.45964
2009,Bexley,Violence Against the Person,3614,0.110969,51.45964
2009,Brent,Burglary,3546,-0.271275,51.5436
2009,Brent,Criminal Damage,2647,-0.271275,51.5436
2009,Brent,Drugs,2579,-0.271275,51.5436
2009,Brent,Other Notifiable Offences,301,-0.271275,51.5436
2009,Brent,Robbery,1630,-0.271275,51.5436
2009,Brent,Theft and Handling,7659,-0.271275,51.5436
2009,Brent,Violence Against the Person,6386,-0.271275,51.5436
2009,Bromley,Burglary,3626,0.01493,51.4057
2009,Bromley,Criminal Damage,3462,0.01493,51.4057
2009,Bromley,Drugs,1101,0.01493,51.4057
2009,Bromley,Other Notifiable Offences,270,0.01493,51.4057
2009,Bromley,Robbery,544,0.01493,51.4057
2009,Bromley,Theft and Handling,7641,0.01493,51.4057
2009,Bromley,Violence Against the Person,5214,0.01493,51.4057
2009,Camden,Burglary,3311,-0.12796,51.53236
2009,Camden,Criminal Damage,2569,-0.12796,51.53236
2009,Camden,Drugs,3244,-0.12796,51.53236
2009,Camden,Other Notifiable Offences,409,-0.12796,51.53236
2009,Camden,Robbery,1002,-0.12796,51.53236
2009,Camden,Theft and Handling,15537,-0.12796,51.53236
2009,Camden,Violence Against the Person,5540,-0.12796,51.53236
2009,Croydon,Burglary,4210,-0.073803,51.36496
2009,Croydon,Criminal Damage,4224,-0.073803,51.36496
2009,Croydon,Drugs,2534,-0.073803,51.36496
2009,Croydon,Other Notifiable Offences,416,-0.073803,51.36496
2009,Croydon,Robbery,1501,-0.073803,51.36496
2009,Croydon,Theft and Handling,10026,-0.073803,51.36496
2009,Croydon,Violence Against the Person,6873,-0.073803,51.36496
2009,Ealing,Burglary,3881,-0.29991,51.51407
2009,Ealing,Criminal Damage,3434,-0.29991,51.51407
2009,Ealing,Drugs,2355,-0.29991,51.51407
2009,Ealing,Other Notifiable Offences,393,-0.29991,51.51407
2009,Ealing,Robbery,1166,-0.29991,51.51407
2009,Ealing,Theft and Handling,10119,-0.29991,51.51407
2009,Ealing,Violence Against the Person,7269,-0.29991,51.51407
2009,Enfield,Burglary,3880,-0.076348,51.667797
2009,Enfield,Criminal Damage,3251,-0.076348,51.667797
2009,Enfield,Drugs,1620,-0.076348,51.667797
2009,Enfield,Other Notifiable Offences,281,-0.076348,51.667797
2009,Enfield,Robbery,1136,-0.076348,51.667797
2009,Enfield,Theft and Handling,6807,-0.076348,51.667797
2009,Enfield,Violence Against the Person,4172,-0.076348,51.667797
2009,Greenwich,Burglary,2701,0.00257,51.48451
2009,Greenwich,Criminal Damage,3190,0.00257,51.48451
2009,Greenwich,Drugs,1281,0.00257,51.48451
2009,Greenwich,Other Notifiable Offences,406,0.00257,51.48451
2009,Greenwich,Robbery,680,0.00257,51.48451
2009,Greenwich,Theft and Handling,6574,0.00257,51.48451
2009,Greenwich,Violence Against the Person,5019,0.00257,51.48451
2009,Hackney,Burglary,2272,-0.05833,51.55
2009,Hackney,Criminal Damage,1945,-0.05833,51.55
2009,Hackney,Drugs,2734,-0.05833,51.55
2009,Hackney,Other Notifiable Offences,328,-0.05833,51.55
2009,Hackney,Robbery,802,-0.05833,51.55
2009,Hackney,Theft and Handling,7249,-0.05833,51.55
2009,Hackney,Violence Against the Person,5388,-0.05833,51.55
2009,Hammersmith and Fulham,Burglary,1918,-0.220817,51.495045
2009,Hammersmith and Fulham,Criminal Damage,1923,-0.220817,51.495045
2009,Hammersmith and Fulham,Drugs,1935,-0.220817,51.495045
2009,Hammersmith and Fulham,Other Notifiable Offences,309,-0.220817,51.495045
2009,Hammersmith and Fulham,Robbery,653,-0.220817,51.495045
2009,Hammersmith and Fulham,Theft and Handling,9921,-0.220817,51.495045
2009,Hammersmith and Fulham,Violence Against the Person,4552,-0.220817,51.495045
2009,Haringey,Burglary,3662,-0.071193,51.58784
2009,Haringey,Criminal Damage,2991,-0.071193,51.58784
2009,Haringey,Drugs,2143,-0.071193,51.58784
2009,Haringey,Other Notifiable Offences,266,-0.071193,51.58784
2009,Haringey,Robbery,1045,-0.071193,51.58784
2009,Haringey,Theft and Handling,8601,-0.071193,51.58784
2009,Haringey,Violence Against the Person,4996,-0.071193,51.58784
2009,Harrow,Burglary,2333,-0.46443,51.4801
2009,Harrow,Criminal Damage,1886,-0.46443,51.4801
2009,Harrow,Drugs,901,-0.46443,51.4801
2009,Harrow,Other Notifiable Offences,207,-0.46443,51.4801
2009,Harrow,Robbery,447,-0.46443,51.4801
2009,Harrow,Theft and Handling,4893,-0.46443,51.4801
2009,Harrow,Violence Against the Person,3281,-0.46443,51.4801
2009,Havering,Burglary,2652,0.255151,51.570454
2009,Havering,Criminal Damage,2370,0.255151,51.570454
2009,Havering,Drugs,928,0.255151,51.570454
2009,Havering,Other Notifiable Offences,171,0.255151,51.570454
2009,Havering,Robbery,308,0.255151,51.570454
2009,Havering,Theft and Handling,5067,0.255151,51.570454
2009,Havering,Violence Against the Person,3042,0.255151,51.570454
2009,Hillingdon,Burglary,3256,-0.44998,51.54304
2009,Hillingdon,Criminal Damage,3303,-0.44998,51.54304
2009,Hillingdon,Drugs,1488,-0.44998,51.54304
2009,Hillingdon,Other Notifiable Offences,608,-0.44998,51.54304
2009,Hillingdon,Robbery,645,-0.44998,51.54304
2009,Hillingdon,Theft and Handling,9441,-0.44998,51.54304
2009,Hillingdon,Violence Against the Person,5864,-0.44998,51.54304
2009,Hounslow,Burglary,2637,-0.361667,51.4675
2009,Hounslow,Criminal Damage,2758,-0.361667,51.4675
2009,Hounslow,Drugs,1668,-0.361667,51.4675
2009,Hounslow,Other Notifiable Offences,357,-0.361667,51.4675
2009,Hounslow,Robbery,574,-0.361667,51.4675
2009,Hounslow,Theft and Handling,6706,-0.361667,51.4675
2009,Hounslow,Violence Against the Person,5083,-0.361667,51.4675
2009,Islington,Burglary,2801,-0.10614,51.53279
2009,Islington,Criminal Damage,2432,-0.10614,51.53279
2009,Islington,Drugs,2345,-0.10614,51.53279
2009,Islington,Other Notifiable Offences,380,-0.10614,51.53279
2009,Islington,Robbery,847,-0.10614,51.53279
2009,Islington,Theft and Handling,11278,-0.10614,51.53279
2009,Islington,Violence Against the Person,5402,-0.10614,51.53279
2009,Kensington and Chelsea,Burglary,1696,-0.192221,51.501205
2009,Kensington and Chelsea,Criminal Damage,1172,-0.192221,51.501205
2009,Kensington and Chelsea,Drugs,2064,-0.192221,51.501205
2009,Kensington and Chelsea,Other Notifiable Offences,251,-0.192221,51.501205
2009,Kensington and Chelsea,Robbery,522,-0.192221,51.501205
2009,Kensington and Chelsea,Theft and Handling,10147,-0.192221,51.501205
2009,Kensington and Chelsea,Violence Against the Person,2890,-0.192221,51.501205
2009,Kingston upon Thames,Burglary,1229,-0.29142,51.41104
2009,Kingston upon Thames,Criminal Damage,1433,-0.29142,51.41104
2009,Kingston upon Thames,Drugs,507,-0.29142,51.41104
2009,Kingston upon Thames,Other Notifiable Offences,146,-0.29142,51.41104
2009,Kingston upon Thames,Robbery,260,-0.29142,51.41104
2009,Kingston upon Thames,Theft and Handling,4478,-0.29142,51.41104
2009,Kingston upon Thames,Violence Against the Person,2110,-0.29142,51.41104
2009,Lambeth,Burglary,3833,-0.11108,51.49085
2009,Lambeth,Criminal Damage,3478,-0.11108,51.49085
2009,Lambeth,Drugs,3154,-0.11108,51.49085
2009,Lambeth,Other Notifiable Offences,492,-0.11108,51.49085
2009,Lambeth,Robbery,2159,-0.11108,51.49085
2009,Lambeth,Theft and Handling,10812,-0.11108,51.49085
2009,Lambeth,Violence Against the Person,7297,-0.11108,51.49085
2009,Lewisham,Burglary,2925,-0.01213,51.45916
2009,Lewisham,Criminal Damage,3546,-0.01213,51.45916
2009,Lewisham,Drugs,2348,-0.01213,51.45916
2009,Lewisham,Other Notifiable Offences,506,-0.01213,51.45916
2009,Lewisham,Robbery,1196,-0.01213,51.45916
2009,Lewisham,Theft and Handling,7377,-0.01213,51.45916
2009,Lewisham,Violence Against the Person,7284,-0.01213,51.45916
2009,Merton,Burglary,1891,-0.166667,51.3833
2009,Merton,Criminal Damage,2070,-0.166667,51.3833
2009,Merton,Drugs,830,-0.166667,51.3833
2009,Merton,Other Notifiable Offences,190,-0.166667,51.3833
2009,Merton,Robbery,520,-0.166667,51.3833
2009,Merton,Theft and Handling,4682,-0.166667,51.3833
2009,Merton,Violence Against the Person,3378,-0.166667,51.3833
2009,Newham,Burglary,3124,0.013242,51.524384
2009,Newham,Criminal Damage,3431,0.013242,51.524384
2009,Newham,Drugs,2365,0.013242,51.524384
2009,Newham,Other Notifiable Offences,378,0.013242,51.524384
2009,Newham,Robbery,1907,0.013242,51.524384
2009,Newham,Theft and Handling,10632,0.013242,51.524384
2009,Newham,Violence Against the Person,6773,0.013242,51.524384
2009,Redbridge,Burglary,3321,0.083333,51.5667
2009,Redbridge,Criminal Damage,2405,0.083333,51.5667
2009,Redbridge,Drugs,2062,0.083333,51.5667
2009,Redbridge,Other Notifiable Offences,213,0.083333,51.5667
2009,Redbridge,Robbery,897,0.083333,51.5667
2009,Redbridge,Theft and Handling,8074,0.083333,51.5667
2009,Redbridge,Violence Against the Person,3865,0.083333,51.5667
2009,Richmond upon Thames,Burglary,1712,-0.312531,51.442757
2009,Richmond upon Thames,Criminal Damage,1587,-0.312531,51.442757
2009,Richmond upon Thames,Drugs,593,-0.312531,51.442757
2009,Richmond upon Thames,Other Notifiable Offences,105,-0.312531,51.442757
2009,Richmond upon Thames,Robbery,206,-0.312531,51.442757
2009,Richmond upon Thames,Theft and Handling,4403,-0.312531,51.442757
2009,Richmond upon Thames,Violence Against the Person,2012,-0.312531,51.442757
2009,Southwark,Burglary,3027,-0.08921,51.50541
2009,Southwark,Criminal Damage,2969,-0.08921,51.50541
2009,Southwark,Drugs,3917,-0.08921,51.50541
2009,Southwark,Other Notifiable Offences,665,-0.08921,51.50541
2009,Southwark,Robbery,1725,-0.08921,51.50541
2009,Southwark,Theft and Handling,10450,-0.08921,51.50541
2009,Southwark,Violence Against the Person,7870,-0.08921,51.50541
2009,Sutton,Burglary,1497,-0.166667,51.3333
2009,Sutton,Criminal Damage,2137,-0.166667,51.3333
2009,Sutton,Drugs,513,-0.166667,51.3333
2009,Sutton,Other Notifiable Offences,140,-0.166667,51.3333
2009,Sutton,Robbery,315,-0.166667,51.3333
2009,Sutton,Theft and Handling,4992,-0.166667,51.3333
2009,Sutton,Violence Against the Person,2646,-0.166667,51.3333
2009,Tower Hamlets,Burglary,1836,-0.05457,51.52017
2009,Tower Hamlets,Criminal Damage,2678,-0.05457,51.52017
2009,Tower Hamlets,Drugs,2792,-0.05457,51.52017
2009,Tower Hamlets,Other Notifiable Offences,400,-0.05457,51.52017
2009,Tower Hamlets,Robbery,787,-0.05457,51.52017
2009,Tower Hamlets,Theft and Handling,8011,-0.05457,51.52017
2009,Tower Hamlets,Violence Against the Person,5455,-0.05457,51.52017
2009,Waltham Forest,Burglary,3399,-0.015955,51.601154
2009,Waltham Forest,Criminal Damage,2924,-0.015955,51.601154
2009,Waltham Forest,Drugs,2123,-0.015955,51.601154
2009,Waltham Forest,Other Notifiable Offences,336,-0.015955,51.601154
2009,Waltham Forest,Robbery,1525,-0.015955,51.601154
2009,Waltham Forest,Theft and Handling,8813,-0.015955,51.601154
2009,Waltham Forest,Violence Against the Person,5641,-0.015955,51.601154
2009,Wandsworth,Burglary,2924,-0.194861,51.4573
2009,Wandsworth,Criminal Damage,2721,-0.194861,51.4573
2009,Wandsworth,Drugs,1356,-0.194861,51.4573
2009,Wandsworth,Other Notifiable Offences,327,-0.194861,51.4573
2009,Wandsworth,Robbery,1172,-0.194861,51.4573
2009,Wandsworth,Theft and Handling,9517,-0.194861,51.4573
2009,Wandsworth,Violence Against the Person,5004,-0.194861,51.4573
2009,Westminster,Burglary,2957,-0.12802,51.50008
2009,Westminster,Criminal Damage,2564,-0.12802,51.50008
2009,Westminster,Drugs,3894,-0.12802,51.50008
2009,Westminster,Other Notifiable Offences,611,-0.12802,51.50008
2009,Westminster,Robbery,1410,-0.12802,51.50008
2009,Westminster,Theft and Handling,29967,-0.12802,51.50008
2009,Westminster,Violence Against the Person,7053,-0.12802,51.50008
2010,Barking and Dagenham,Burglary,2153,0.133158,51.5465
2010,Barking and Dagenham,Criminal Damage,2390,0.133158,51.5465
2010,Barking and Dagenham,Drugs,1096,0.133158,51.5465
2010,Barking and Dagenham,Other Notifiable Offences,307,0.133158,51.5465
2010,Barking and Dagenham,Robbery,834,0.133158,51.5465
2010,Barking and Dagenham,Theft and Handling,5805,0.133158,51.5465
2010,Barking and Dagenham,Violence Against the Person,4545,0.133158,51.5465
2010,Barnet,Burglary,4300,-0.19622,51.6455
2010,Barnet,Criminal Damage,2715,-0.19622,51.6455
2010,Barnet,Drugs,1177,-0.19622,51.6455
2010,Barnet,Other Notifiable Offences,268,-0.19622,51.6455
2010,Barnet,Robbery,939,-0.19622,51.6455
2010,Barnet,Theft and Handling,9582,-0.19622,51.6455
2010,Barnet,Violence Against the Person,4435,-0.19622,51.6455
2010,Bexley,Burglary,1924,0.110969,51.45964
2010,Bexley,Criminal Damage,2201,0.110969,51.45964
2010,Bexley,Drugs,933,0.110969,51.45964
